course_id,area,theme,season,weather_flag,duration_min,poi_order,drive_min_each,dwell_min_each,notes,last_verified
SAMPLE_01,북,반나절,all,clear,210,이호테우해변>한라수목원>애월카페,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_02,북,반나절,all,clear,210,협재해변>한림공원>수월봉전망,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_03,북,반나절,all,clear,210,정방폭포>천지연폭포>서귀포매일올레시장,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_04,북,반나절,all,clear,210,성산일출봉>섭지코지>빛의벙커,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_05,서,반나절,all,clear,210,이호테우해변>한라수목원>애월카페,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_06,서,반나절,all,clear,210,협재해변>한림공원>수월봉전망,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_07,서,반나절,all,clear,210,정방폭포>천지연폭포>서귀포매일올레시장,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_08,서,반나절,all,clear,210,성산일출봉>섭지코지>빛의벙커,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_09,남,반나절,all,clear,210,이호테우해변>한라수목원>애월카페,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_10,남,반나절,all,clear,210,협재해변>한림공원>수월봉전망,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_11,남,반나절,all,clear,210,정방폭포>천지연폭포>서귀포매일올레시장,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_12,남,반나절,all,clear,210,성산일출봉>섭지코지>빛의벙커,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_13,동,반나절,all,clear,210,이호테우해변>한라수목원>애월카페,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_14,동,반나절,all,clear,210,협재해변>한림공원>수월봉전망,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_15,동,반나절,all,clear,210,정방폭포>천지연폭포>서귀포매일올레시장,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_16,동,반나절,all,clear,210,성산일출봉>섭지코지>빛의벙커,20|25|20,50|60|50,운영시간은 공식 안내 확인 필요,2025-10-30
SAMPLE_17,북,반나절,all,rain,200,제주러브랜드(성인)>아라리오뮤지엄>동문시장,18|22|20,45|55|50,상황에 따라 대체지 제안,2025-10-30
SAMPLE_18,서,반나절,all,windy,200,곽지과물해변 산책>한담해안산책로>애월실내카페,18|22|20,45|55|50,상황에 따라 대체지 제안,2025-10-30
SAMPLE_19,남,반나절,all,rain,200,박물관은살아있다>플레이케이팝>중문면세점,18|22|20,45|55|50,상황에 따라 대체지 제안,2025-10-30
SAMPLE_20,동,반나절,all,rain,200,아쿠아플라넷제주>성산실내카페>성산항,18|22|20,45|55|50,상황에 따라 대체지 제안,2025-10-30
